,ScripCode,TradingSymbol,BuySell,RIC,Series,venue,trade_volume,execution_price,position,trader_id,trade_time,arrival_time,signal_time,Exch Time,TOMReceiptTime,BasketId,currency,broker_id,order_id,arrival_price,trade_price,signal_price,Date-Time,Type,Price,Bid Price,Bid Size,Ask Price,Ask Size,High,Low,Market VWAP,market_high,market_low,market_vwap,market_mid,market_spread,best_ask,best_bid,trades_vwap,trades_twap,slippage,best_price,worst_price,sippage_to_market_vwap,market_impact
62,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:11:00.100,2025-02-25 09:11:00,,,,,,,,,,2025-02-25T09:13:00,M,111.3562342,111.3562342,14.0,126.0,14.0,25.0,45.0,111.3562342,,,,,,,,,,,,,,
61,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:12:00.100,2025-02-25 09:12:00,,,,,,,,,,2025-02-25T09:14:00,M,155.114328,155.114328,14.0,126.0,14.0,25.0,45.0,155.114328,,,,,,,,,,,,,,
60,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:13:00.100,2025-02-25 09:13:00,,,,,,,,,,2025-02-25T09:15:00,M,181.2545813,181.2545813,14.0,126.0,14.0,25.0,32.0,181.2545813,,,,,,,,,,,,,,
59,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:14:00.100,2025-02-25 09:14:00,,,,,,,,,,2025-02-25T09:16:00,M,168.229762,168.229762,14.0,126.0,14.0,25.0,32.0,168.229762,,,,,,,,,,,,,,
58,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:15:00.100,2025-02-25 09:15:00,,,,,,,,,,2025-02-25T09:17:00,M,173.701675,173.701675,14.0,126.0,14.0,25.0,32.0,173.701675,,,,,,,,,,,,,,
57,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:16:00.100,2025-02-25 09:16:00,,,,,,,,,,2025-02-25T09:18:00,M,128.0069441,128.0069441,14.0,126.0,14.0,25.0,32.0,128.0069441,,,,,,,,,,,,,,
56,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:17:00.100,2025-02-25 09:17:00,,,,,,,,,,2025-02-25T09:19:00,M,112.6473767,112.6473767,14.0,126.0,14.0,25.0,32.0,112.6473767,,,,,,,,,,,,,,
55,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:18:00.100,2025-02-25 09:18:00,,,,,,,,,,2025-02-25T09:20:00,M,198.5443272,198.5443272,14.0,126.0,14.0,25.0,32.0,198.5443272,,,,,,,,,,,,,,
54,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:19:00.100,2025-02-25 09:19:00,,,,,,,,,,2025-02-25T09:21:00,M,117.2406934,117.2406934,14.0,126.0,14.0,25.0,32.0,117.2406934,,,,,,,,,,,,,,
53,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:20:00.100,2025-02-25 09:20:00,,,,,,,,,,2025-02-25T09:22:00,M,158.6437371,158.6437371,14.0,126.0,14.0,25.0,32.0,158.6437371,,,,,,,,,,,,,,
52,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:21:00.100,2025-02-25 09:21:00,,,,,,,,,,2025-02-25T09:23:00,M,140.0622156,140.0622156,14.0,126.0,14.0,25.0,32.0,140.0622156,,,,,,,,,,,,,,
73,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:00:00.100,2025-02-25 09:00:00,,,,,,,,,,2025-02-25T09:02:00,M,163.2745034,163.2745034,14.0,200.0,14.0,25.0,45.0,163.2745034,,,,,,,,,,,,,,
51,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:22:00.100,2025-02-25 09:22:00,,,,,,,,,,2025-02-25T09:24:00,M,168.7690747,168.7690747,14.0,126.0,14.0,25.0,32.0,168.7690747,,,,,,,,,,,,,,
74,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:59:00.100,2025-02-25 08:59:00,,,,,,,,,,2025-02-25T09:01:00,M,199.5400519,199.5400519,14.0,200.0,14.0,25.0,45.0,199.5400519,,,,,,,,,,,,,,
76,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:57:00.100,2025-02-25 08:57:00,,,,,,,,,,2025-02-25T08:59:00,N,124.9235818,124.9235818,15.0,200.0,14.0,25.0,45.0,124.9235818,,,,,,,,,,,,,,
97,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:36:00.100,2025-02-25 08:36:00,,,,,,,,,,2025-02-25T08:38:00,N,189.5750689,189.5750689,15.0,200.0,15.0,50.0,45.0,189.5750689,,,,,,,,,,,,,,
96,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:37:00.100,2025-02-25 08:37:00,,,,,,,,,,2025-02-25T08:39:00,N,102.1128132,102.1128132,15.0,200.0,15.0,28.0,45.0,102.1128132,,,,,,,,,,,,,,
95,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:38:00.100,2025-02-25 08:38:00,,,,,,,,,,2025-02-25T08:40:00,N,101.7514739,101.7514739,15.0,200.0,15.0,27.0,45.0,101.7514739,,,,,,,,,,,,,,
94,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:39:00.100,2025-02-25 08:39:00,,,,,,,,,,2025-02-25T08:41:00,N,119.3601567,119.3601567,15.0,200.0,15.0,25.0,45.0,119.3601567,,,,,,,,,,,,,,
93,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:40:00.100,2025-02-25 08:40:00,,,,,,,,,,2025-02-25T08:42:00,N,158.3572492,158.3572492,15.0,200.0,15.0,25.0,45.0,158.3572492,,,,,,,,,,,,,,
92,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:41:00.100,2025-02-25 08:41:00,,,,,,,,,,2025-02-25T08:43:00,N,130.6697417,130.6697417,15.0,200.0,15.0,25.0,45.0,130.6697417,,,,,,,,,,,,,,
91,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:42:00.100,2025-02-25 08:42:00,,,,,,,,,,2025-02-25T08:44:00,N,127.5226401,127.5226401,15.0,200.0,14.0,25.0,45.0,127.5226401,,,,,,,,,,,,,,
90,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:43:00.100,2025-02-25 08:43:00,,,,,,,,,,2025-02-25T08:45:00,N,176.2734904,176.2734904,15.0,200.0,14.0,25.0,45.0,176.2734904,,,,,,,,,,,,,,
89,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:44:00.100,2025-02-25 08:44:00,,,,,,,,,,2025-02-25T08:46:00,N,102.5274186,102.5274186,15.0,200.0,14.0,25.0,45.0,102.5274186,,,,,,,,,,,,,,
88,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:45:00.100,2025-02-25 08:45:00,,,,,,,,,,2025-02-25T08:47:00,N,156.4868777,156.4868777,15.0,200.0,14.0,25.0,45.0,156.4868777,,,,,,,,,,,,,,
87,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:46:00.100,2025-02-25 08:46:00,,,,,,,,,,2025-02-25T08:48:00,N,192.5820081,192.5820081,15.0,200.0,14.0,25.0,45.0,192.5820081,,,,,,,,,,,,,,
86,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:47:00.100,2025-02-25 08:47:00,,,,,,,,,,2025-02-25T08:49:00,N,120.9775011,120.9775011,15.0,200.0,14.0,25.0,45.0,120.9775011,,,,,,,,,,,,,,
85,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:48:00.100,2025-02-25 08:48:00,,,,,,,,,,2025-02-25T08:50:00,N,173.1186057,173.1186057,15.0,200.0,14.0,25.0,45.0,173.1186057,,,,,,,,,,,,,,
84,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:49:00.100,2025-02-25 08:49:00,,,,,,,,,,2025-02-25T08:51:00,N,166.859301,166.859301,15.0,200.0,14.0,25.0,45.0,166.859301,,,,,,,,,,,,,,
83,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:50:00.100,2025-02-25 08:50:00,,,,,,,,,,2025-02-25T08:52:00,N,123.3317784,123.3317784,15.0,200.0,14.0,25.0,45.0,123.3317784,,,,,,,,,,,,,,
82,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:51:00.100,2025-02-25 08:51:00,,,,,,,,,,2025-02-25T08:53:00,N,145.929659,145.929659,15.0,200.0,14.0,25.0,45.0,145.929659,,,,,,,,,,,,,,
81,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:52:00.100,2025-02-25 08:52:00,,,,,,,,,,2025-02-25T08:54:00,N,144.62047,144.62047,15.0,200.0,14.0,25.0,45.0,144.62047,,,,,,,,,,,,,,
80,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:53:00.100,2025-02-25 08:53:00,,,,,,,,,,2025-02-25T08:55:00,N,161.5786588,161.5786588,15.0,200.0,14.0,25.0,45.0,161.5786588,,,,,,,,,,,,,,
79,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:54:00.100,2025-02-25 08:54:00,,,,,,,,,,2025-02-25T08:56:00,N,170.7695429,170.7695429,15.0,200.0,14.0,25.0,45.0,170.7695429,,,,,,,,,,,,,,
78,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:55:00.100,2025-02-25 08:55:00,,,,,,,,,,2025-02-25T08:57:00,N,162.3023577,162.3023577,15.0,200.0,14.0,25.0,45.0,162.3023577,,,,,,,,,,,,,,
77,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:56:00.100,2025-02-25 08:56:00,,,,,,,,,,2025-02-25T08:58:00,N,156.0066229,156.0066229,15.0,200.0,14.0,25.0,45.0,156.0066229,,,,,,,,,,,,,,
75,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:58:00.100,2025-02-25 08:58:00,,,,,,,,,,2025-02-25T09:00:00,N,133.1018279,133.1018279,14.0,200.0,14.0,25.0,45.0,133.1018279,,,,,,,,,,,,,,
50,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:23:00.100,2025-02-25 09:23:00,,,,,,,,,,2025-02-25T09:25:00,M,119.3325882,119.3325882,14.0,126.0,14.0,25.0,32.0,119.3325882,,,,,,,,,,,,,,
49,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:24:00.100,2025-02-25 09:24:00,,,,,,,,,,2025-02-25T09:26:00,M,111.040592,111.040592,14.0,126.0,14.0,25.0,32.0,111.040592,,,,,,,,,,,,,,
48,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:25:00.100,2025-02-25 09:25:00,,,,,,,,,,2025-02-25T09:27:00,M,152.9458725,152.9458725,14.0,126.0,14.0,25.0,32.0,152.9458725,,,,,,,,,,,,,,
21,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:52:00.100,2025-02-25 09:52:00,,,,,,,,,,2025-02-25T09:54:00,K,151.1023259,151.1023259,14.0,125.0,13.0,23.0,22.0,151.1023259,,,,,,,,,,,,,,
20,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:53:00.100,2025-02-25 09:53:00,,,,,,,,,,2025-02-25T09:55:00,K,148.6763503,148.6763503,14.0,125.0,13.0,23.0,22.0,148.6763503,,,,,,,,,,,,,,
19,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:54:00.100,2025-02-25 09:54:00,,,,,,,,,,2025-02-25T09:56:00,K,101.6145306,101.6145306,14.0,125.0,13.0,23.0,22.0,101.6145306,,,,,,,,,,,,,,
18,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:55:00.100,2025-02-25 09:55:00,,,,,,,,,,2025-02-25T09:57:00,K,107.6507806,107.6507806,14.0,125.0,13.0,23.0,22.0,107.6507806,,,,,,,,,,,,,,
17,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:56:00.100,2025-02-25 09:56:00,,,,,,,,,,2025-02-25T09:58:00,K,176.6906798,176.6906798,14.0,125.0,13.0,23.0,22.0,176.6906798,,,,,,,,,,,,,,
16,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:57:00.100,2025-02-25 09:57:00,,,,,,,,,,2025-02-25T09:59:00,K,192.9951794,192.9951794,14.0,125.0,13.0,23.0,22.0,192.9951794,,,,,,,,,,,,,,
15,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:58:00.100,2025-02-25 09:58:00,,,,,,,,,,2025-02-25T10:00:00,K,161.7902141,161.7902141,14.0,125.0,13.0,23.0,30.0,161.7902141,,,,,,,,,,,,,,
14,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:59:00.100,2025-02-25 09:59:00,,,,,,,,,,2025-02-25T10:01:00,K,141.5966324,141.5966324,14.0,125.0,13.0,23.0,30.0,141.5966324,,,,,,,,,,,,,,
13,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:00:00.100,2025-02-25 10:00:00,,,,,,,,,,2025-02-25T10:02:00,L,114.797452,114.797452,14.0,125.0,13.0,23.0,30.0,114.797452,,,,,,,,,,,,,,
12,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:01:00.100,2025-02-25 10:01:00,,,,,,,,,,2025-02-25T10:03:00,L,100.9024452,100.9024452,14.0,125.0,13.0,23.0,30.0,100.9024452,,,,,,,,,,,,,,
11,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:02:00.100,2025-02-25 10:02:00,,,,,,,,,,2025-02-25T10:04:00,L,195.9902776,195.9902776,14.0,125.0,13.0,23.0,30.0,195.9902776,,,,,,,,,,,,,,
10,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:03:00.100,2025-02-25 10:03:00,,,,,,,,,,2025-02-25T10:05:00,L,145.7053964,145.7053964,14.0,125.0,13.0,23.0,30.0,145.7053964,,,,,,,,,,,,,,
9,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:04:00.100,2025-02-25 10:04:00,,,,,,,,,,2025-02-25T10:06:00,L,160.8688928,160.8688928,14.0,125.0,13.0,23.0,30.0,160.8688928,,,,,,,,,,,,,,
8,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:05:00.100,2025-02-25 10:05:00,,,,,,,,,,2025-02-25T10:07:00,L,104.9677777,104.9677777,14.0,125.0,13.0,23.0,30.0,104.9677777,,,,,,,,,,,,,,
7,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:06:00.100,2025-02-25 10:06:00,,,,,,,,,,2025-02-25T10:08:00,L,108.6621334,108.6621334,14.0,125.0,13.0,23.0,30.0,108.6621334,,,,,,,,,,,,,,
6,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:07:00.100,2025-02-25 10:07:00,,,,,,,,,,2025-02-25T10:09:00,L,147.5015524,147.5015524,13.0,125.0,13.0,23.0,30.0,147.5015524,,,,,,,,,,,,,,
5,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:08:00.100,2025-02-25 10:08:00,,,,,,,,,,2025-02-25T10:10:00,L,137.536324,137.536324,13.0,125.0,13.0,23.0,30.0,137.536324,,,,,,,,,,,,,,
4,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:09:00.100,2025-02-25 10:09:00,,,,,,,,,,2025-02-25T10:11:00,L,106.2530701,106.2530701,13.0,125.0,13.0,23.0,30.0,106.2530701,,,,,,,,,,,,,,
3,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:10:00.100,2025-02-25 10:10:00,,,,,,,,,,2025-02-25T10:12:00,L,192.3515932,192.3515932,13.0,125.0,13.0,23.0,30.0,192.3515932,,,,,,,,,,,,,,
2,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:11:00.100,2025-02-25 10:11:00,,,,,,,,,,2025-02-25T10:13:00,L,167.937304,167.937304,12.0,125.0,12.0,23.0,30.0,167.937304,,,,,,,,,,,,,,
1,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:12:00.100,2025-02-25 10:12:00,,,,,,,,,,2025-02-25T10:14:00,L,133.3355877,133.3355877,11.0,124.0,11.0,21.0,30.0,133.3355877,,,,,,,,,,,,,,
22,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:51:00.100,2025-02-25 09:51:00,,,,,,,,,,2025-02-25T09:53:00,K,186.7094302,186.7094302,14.0,125.0,13.0,25.0,22.0,186.7094302,,,,,,,,,,,,,,
23,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:50:00.100,2025-02-25 09:50:00,,,,,,,,,,2025-02-25T09:52:00,K,119.8467934,119.8467934,14.0,125.0,13.0,25.0,22.0,119.8467934,,,,,,,,,,,,,,
24,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:49:00.100,2025-02-25 09:49:00,,,,,,,,,,2025-02-25T09:51:00,K,193.483173,193.483173,14.0,126.0,13.0,25.0,22.0,193.483173,,,,,,,,,,,,,,
25,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:48:00.100,2025-02-25 09:48:00,,,,,,,,,,2025-02-25T09:50:00,K,153.0698928,153.0698928,14.0,126.0,13.0,25.0,22.0,153.0698928,,,,,,,,,,,,,,
47,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:26:00.100,2025-02-25 09:26:00,,,,,,,,,,2025-02-25T09:28:00,M,154.4472202,154.4472202,14.0,126.0,14.0,25.0,32.0,154.4472202,,,,,,,,,,,,,,
46,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:27:00.100,2025-02-25 09:27:00,,,,,,,,,,2025-02-25T09:29:00,M,167.0320717,167.0320717,14.0,126.0,14.0,25.0,32.0,167.0320717,,,,,,,,,,,,,,
45,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:28:00.100,2025-02-25 09:28:00,,,,,,,,,,2025-02-25T09:30:00,M,181.483315,181.483315,14.0,126.0,14.0,25.0,32.0,181.483315,,,,,,,,,,,,,,
44,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:29:00.100,2025-02-25 09:29:00,,,,,,,,,,2025-02-25T09:31:00,M,159.5820039,159.5820039,14.0,126.0,14.0,25.0,32.0,159.5820039,,,,,,,,,,,,,,
43,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:30:00.100,2025-02-25 09:30:00,,,,,,,,,,2025-02-25T09:32:00,M,135.087781,135.087781,14.0,126.0,14.0,25.0,32.0,135.087781,,,,,,,,,,,,,,
42,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:31:00.100,2025-02-25 09:31:00,,,,,,,,,,2025-02-25T09:33:00,M,131.4653491,131.4653491,14.0,126.0,14.0,25.0,32.0,131.4653491,,,,,,,,,,,,,,
41,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:32:00.100,2025-02-25 09:32:00,,,,,,,,,,2025-02-25T09:34:00,M,108.1657529,108.1657529,14.0,126.0,14.0,25.0,32.0,108.1657529,,,,,,,,,,,,,,
40,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:33:00.100,2025-02-25 09:33:00,,,,,,,,,,2025-02-25T09:35:00,M,196.1344392,196.1344392,14.0,126.0,14.0,25.0,32.0,196.1344392,,,,,,,,,,,,,,
39,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:34:00.100,2025-02-25 09:34:00,,,,,,,,,,2025-02-25T09:36:00,M,120.2562221,120.2562221,14.0,126.0,14.0,25.0,32.0,120.2562221,,,,,,,,,,,,,,
38,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:35:00.100,2025-02-25 09:35:00,,,,,,,,,,2025-02-25T09:37:00,K,174.1499462,174.1499462,14.0,126.0,14.0,25.0,22.0,174.1499462,,,,,,,,,,,,,,
98,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 08:35:00.100,2025-02-25 08:35:00,,,,,,,,,,2025-02-25T08:37:00,N,172.1760286,172.1760286,15.0,200.0,15.0,30.0,45.0,172.1760286,,,,,,,,,,,,,,
37,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:36:00.100,2025-02-25 09:36:00,,,,,,,,,,2025-02-25T09:38:00,K,151.9351934,151.9351934,14.0,126.0,14.0,25.0,22.0,151.9351934,,,,,,,,,,,,,,
35,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:38:00.100,2025-02-25 09:38:00,,,,,,,,,,2025-02-25T09:40:00,K,147.2083908,147.2083908,14.0,126.0,14.0,25.0,22.0,147.2083908,,,,,,,,,,,,,,
34,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:39:00.100,2025-02-25 09:39:00,,,,,,,,,,2025-02-25T09:41:00,K,165.9341017,165.9341017,14.0,126.0,14.0,25.0,22.0,165.9341017,,,,,,,,,,,,,,
33,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:40:00.100,2025-02-25 09:40:00,,,,,,,,,,2025-02-25T09:42:00,K,168.4405992,168.4405992,14.0,126.0,14.0,25.0,22.0,168.4405992,,,,,,,,,,,,,,
32,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:41:00.100,2025-02-25 09:41:00,,,,,,,,,,2025-02-25T09:43:00,K,133.5637555,133.5637555,14.0,126.0,14.0,25.0,22.0,133.5637555,,,,,,,,,,,,,,
31,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:42:00.100,2025-02-25 09:42:00,,,,,,,,,,2025-02-25T09:44:00,K,195.6276833,195.6276833,14.0,126.0,14.0,25.0,22.0,195.6276833,,,,,,,,,,,,,,
30,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:43:00.100,2025-02-25 09:43:00,,,,,,,,,,2025-02-25T09:45:00,K,148.0722956,148.0722956,14.0,126.0,14.0,25.0,22.0,148.0722956,,,,,,,,,,,,,,
29,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:44:00.100,2025-02-25 09:44:00,,,,,,,,,,2025-02-25T09:46:00,K,154.9355367,154.9355367,14.0,126.0,14.0,25.0,22.0,154.9355367,,,,,,,,,,,,,,
28,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:45:00.100,2025-02-25 09:45:00,,,,,,,,,,2025-02-25T09:47:00,K,145.6720003,145.6720003,14.0,126.0,14.0,25.0,22.0,145.6720003,,,,,,,,,,,,,,
27,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:46:00.100,2025-02-25 09:46:00,,,,,,,,,,2025-02-25T09:48:00,K,176.6671382,176.6671382,14.0,126.0,14.0,25.0,22.0,176.6671382,,,,,,,,,,,,,,
26,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:47:00.100,2025-02-25 09:47:00,,,,,,,,,,2025-02-25T09:49:00,K,173.0196781,173.0196781,14.0,126.0,14.0,25.0,22.0,173.0196781,,,,,,,,,,,,,,
36,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:37:00.100,2025-02-25 09:37:00,,,,,,,,,,2025-02-25T09:39:00,K,107.6594391,107.6594391,14.0,126.0,14.0,25.0,22.0,107.6594391,,,,,,,,,,,,,,
